,Word,Accent index
460,cijelo,4
461,cijelost,4
462,cijeljeti,4
463,cijena,4
464,cijeniti,4
465,cijenjen,4
466,cijep,4
467,cijepanje,4
468,cijepati,4
469,cijepiti,4
470,cijepljenje,4
471,cijev,4
472,cijevka,4
473,ciju,2
474,cijukanje,4
475,cijukati,4
476,cikas,2
477,cik-cak,2
478,cikla,2
479,ciklama,5
480,ciklični,2
481,ciklograf,5
482,ciklon,2
483,ciklona,5
484,ciklop,2
485,ciklus,2
486,cikorija,4
487,cilija,2
488,cilindar,4
489,cilj,2
490,ciljanje,2
491,ciljati,2
492,ciljni,2
493,ciljnik,2
494,cimbal,2
495,cimbalist,5
496,cimbalistica,5
497,cimbalističin,5
498,cimet,2
499,cinčani,2
500,ciničan,2
501,cinično,2
502,ciničnost,2
503,cinik,2
504,cinizam,4
505,cink,2
506,cinkov,2
507,cio,2
508,cipal,2
509,cipela,2
510,cirkulacija,7
511,cirkulirati,7
512,cirkus,2
513,cirkusant,5
514,cirkusantica,5
515,cirkusantičin,5
516,cirkuski,2
517,ciroza,4
518,cista,2
519,cisterna,2
520,cistozira,5
521,citadela,6
522,citat,2
523,citiranje,4
524,citirati,4
525,citoplazma,7
526,citra,2
527,civil,2
528,civilizacija,8
529,civilizacijski,8
530,civiliziran,6
531,civiliziranost,6
532,civilizirati,8
533,civilni,2
534,cjedilo,3
535,cjediljka,3
536,cjelina,5
537,cjelivati,5
538,cjelodnevni,5
539,cjelokupan,5
540,cjelokupnost,5
541,cjelov,3
542,cjelovečernji,7
543,cjelovit,5
544,cjelovitost,5
545,cjenik,3
546,cjenkati,3
547,cjepanica,5
548,cjepidlačiti,5
549,cjepivo,3
550,cjepkati,3
551,cjevanica,5
552,cjevast,3
553,cjevčica,3
554,cjevovod,3
555,cL,0
556,cm,0
557,cmizdrenje,3
558,cmizdriti,3
559,cmok,3
560,crijep,5
561,d,0
562,da,2
563,dabar,2
564,daća,2
565,dadilja,2
566,dag,0
567,dagnja,2
568,dah,2
569,dahija,2
570,dahnuti,2
571,dahtati,2
572,dakako,4
573,dakle,2
574,daktilograf,7
575,daktilografkinja,7
576,daktiloskopija,10
577,dalaj-lama,2
578,dalek,2
579,daleko,4
580,dalekometan,6
581,dalekopisač,8
582,dalekosežan,6
583,dalekosežnost,6
584,dalekovidan,6
585,dalekovidnost,6
586,dalekovod,6
587,dalekozor,6
588,dalija,2
589,dalmatinac,7
590,dalmatski,2
591,dalton,2
592,daltonist,5
593,daltonistica,5
594,daltonističin,5
595,daltonistički,7
596,daltonizam,7
597,daljina,5
598,daljinski,2
599,daljnji,2
600,dama,2
601,dan,2
602,danak,2
603,danas,2
604,današnji,2
605,današnjica,2
606,dan-danas,2
607,danguba,2
608,daniti,2
609,danomice,2
610,danonoćni,2
611,danski,2
612,danji,2
613,danju,2
614,dapače,4
615,dar,2
616,darežljiv,4
617,darežljivost,4
618,darivanje,4
619,darivatelj,4
620,darivateljica,8
621,darivateljičin,8
622,darivateljski,4
623,darivati,4
624,darovati,4
625,darovit,4
626,darovitost,4
627,darovnica,4
628,daska,2
629,daskanje,2
630,daskaš,2
631,daskašica,5
632,daskašičin,5
633,daskati,2
634,dašak,2
635,daščara,2
636,daščica,2
637,dati,2
638,datirati,4
639,dativ,2
640,datoteka,6
641,datulja,2
642,datum,2
643,datumski,2
644,davalac,2
645,davanje,2
646,davaočev,2
647,davatelj,2
648,davateljev,2
649,davateljica,6
650,davateljičin,6
651,davateljski,2
652,davati,2
653,davež,2
654,daviti,2
655,davni,2
656,davnina,5
657,davno,2
658,dažbina,2
659,dažd,2
660,daždevnjak,5
661,dB,0
662,DDT,0
663,deagrarizacija,10
664,debata,4
665,debelo,4
666,debeljko,4
667,debeo,2
668,debil,2
669,deblo,2
670,debljanje,2
671,debljati,2
672,debljina,6
673,decentralizacija,12
674,deci,2
675,decibel,2
676,decilitar,2
677,decimala,6
678,decimalni,2
679,decimetar,2
680,dečko,2
681,deducirati,6
682,dedukcija,4
683,dedukcijski,4
684,defektolog,7
685,defektologija,9
686,defektologinja,7
687,defektološki,7
688,deficit,2
689,definicija,6
690,definiranje,6
691,definirati,6
692,definitivan,2
693,deflacija,5
694,deflacijski,5
695,deflatoran,2
696,deformacija,7
697,deformiranje,7
698,deformirati,7
699,degenerirati,8
700,degenija,2
701,degradacija,7
702,degradirati,7
703,dehidracija,7
704,deizam,3
705,deka,2
706,dekada,4
707,dekadni,2
708,dekadski,2
709,dekagram,2
710,dekan,2
711,dekanat,4
712,dekanica,4
713,dekaničin,4
714,dekanski,2
715,dekantirati,7
716,deklaracija,7
717,deklarativni,2
718,deklarirati,7
719,deklinacija,7
720,deklinirati,7
721,dekompresija,8
722,dekor,2
723,dekoracija,6
724,dekorativni,2
725,dekret,2
726,delegacija,6
727,delegat,4
728,delegatkinja,4
729,delegatski,4
730,delfin,2
731,delikatesa,8
732,delta,2
733,demantirati,7
734,deminutiv,2
735,demižon,4
736,demogeografija,10
737,demografija,7
738,demografski,4
739,demokracija,7
740,demokrat,4
741,demokratkinja,4
742,demokratski,4
743,demon,2
744,demonski,2
745,demonstracija,9
746,demonstrant,4
747,demonstrantica,4
748,demonstrantičin,4
749,e,1
750,e-adresa,6
751,eda,1
752,edikt,1
753,editor,1
754,efekt,1
755,efektan,1
756,efikasan,3
757,efikasnost,3
758,egoist,3
759,egoistica,3
760,egoističan,4
761,egoističin,3
762,egoistično,4
763,egoizam,4
764,egzem,1
765,egzistencija,7
766,egzistencijalni,1
767,egzistencijski,7
768,egzodus,4
769,egzorcist,4
770,egzorcistički,7
771,egzorcizam,7
772,egzotičan,4
773,egzotika,4
774,eh,1
775,ehe,1
776,ehinokok,5
777,ej,1
778,ekavica,1
779,ekavski,1
780,ekcem,1
781,ekipa,3
782,ekipni,1
783,ekliptika,4
784,ekocid,1
785,ekolog,3
786,ekologija,5
787,ekologinja,3
788,ekološki,3
789,ekonim,3
790,ekonofizika,7
791,ekonomičan,5
792,ekonomičnost,5
793,ekonomija,5
794,ekonomist,5
795,ekonomistica,5
796,ekonomističin,5
797,ekonomski,3
798,ekosustav,5
799,ekran,1
800,ekscentričan,5
801,ekscentričnost,5
802,eksces,1
803,ekskluzivan,1
804,ekskurzija,5
805,ekspanzija,5
806,ekspedicija,7
807,eksperiment,7
808,eksperimentalni,9
809,eksperimentirati,12
810,ekspert,1
811,ekspertica,1
812,ekspertičin,1
813,eksplicitan,6
814,eksploatacija,9
815,eksploatirati,9
816,eksplodirati,8
817,eksplozija,6
818,eksploziv,6
819,eksplozivan,1
820,eksponat,5
821,eksponent,5
822,eksport,1
823,ekspozicija,7
824,ekspresionist,9
825,ekspresionistica,9
826,ekspresionističin,9
827,ekspresionistički,11
828,ekspresionizam,11
829,ekspresni,1
830,ekstazi,1
831,ekstenzivan,1
832,eksterijer,7
833,ekstranet,1
834,ekstravagantan,10
835,ekstreman,1
836,ekstremist,6
837,ekstremistica,6
838,ekstremističin,6
839,ekstremistički,8
840,ekstremizam,8
841,ekstrovertiran,8
842,ekstrovertiranost,8
843,ekumena,5
844,ekumenizam,7
845,ekumenski,1
846,ekvator,1
847,ekvatorski,1
848,ekvidistancija,9
849,ekvinocij,4
850,ekvivalencija,8
851,ekvivalent,6
852,ekvivalentan,8
853,elaborat,5
854,elaborirati,7
855,elan,1
856,elastičan,3
857,elastičnost,3
858,elastomer,6
859,elegancija,5
860,elegantan,5
861,elegantno,5
862,elegičan,3
863,elegija,3
864,elegijski,3
865,elektrana,7
866,elektricitet,9
867,električar,3
868,električarev,3
869,električarka,3
870,električarov,3
871,električarski,3
872,električni,3
873,elektrificirati,11
874,elektrifikacija,11
875,elektrika,3
876,elektriziranje,9
877,elektrizirati,9
878,elektroda,7
879,elektrodinamički,11
880,elektrodinamika,11
881,elektrolit,7
882,elektrolitni,7
883,elektroliza,9
884,elektromagnet,9
885,elektromagnetizam,14
886,elektromagnetski,9
887,elektromotor,9
888,elektron,3
889,elektroničar,7
890,elektroničarev,7
891,elektroničarka,7
892,elektroničarov,7
893,elektronički,7
894,elektronika,7
895,elektronski,3
896,elektronvolt,3
897,elektroskop,7
898,elektrostatički,10
899,elektrostatika,10
900,elektrotehničar,9
901,elektrotehničarev,9
902,elektrotehničarka,9
903,elektrotehničarov,9
904,elektrotehnički,9
905,elektrotehnika,9
906,element,3
907,elementarni,1
908,eliksir,3
909,eliminacija,7
910,eliminirati,7
911,elipsa,3
912,eliptičan,3
913,elisa,3
914,elita,3
915,elitni,1
916,emajl,1
917,emajliranje,6
918,emajlirati,6
919,emancipacija,8
920,emancipirati,8
921,embargo,4
922,embrij,1
923,embrijski,1
924,embrio,1
925,emigracija,6
926,emigrant,3
927,emigrantica,3
928,emigrantičin,3
929,emigrantski,3
930,emigrirati,6
931,emisija,3
932,emitiranje,5
933,emitirati,5
934,emocija,3
935,emocionalni,1
936,emocionalnost,8
937,emotikon,5
938,emotiv,3
939,f,0
940,F,0
941,fa,2
942,fabula,2
943,fagot,2
944,fagotist,4
945,fagotistica,4
946,fagotističin,4
947,fakir,2
948,faks,2
949,faktor,2
950,faktura,5
951,fakultativan,2
952,fakultativni,2
953,fakultet,4
954,fakultetski,4
955,falkuša,2
956,falsificirati,9
957,falsifikat,7
958,falsifikator,7
959,falsifikatorica,7
960,falsifikatoričin,7
961,familija,2
962,fanatičan,4
963,fanatik,4
964,fanatikinja,4
965,fanatizam,6
966,fanfara,2
967,fantastičan,5
968,fantastika,5
969,fantazija,2
970,fantaziranje,7
971,fantazirati,7
972,fantom,2
973,fantomski,2
974,far,2
975,farad,2
976,faraon,4
977,faraonski,4
978,farizej,4
979,farizejka,4
980,farizejski,4
981,farizejstvo,6
982,farma,2
983,farmaceut,7
984,farmaceutkinja,7
985,farmacija,2
986,farmer,2
987,farmerica,2
988,farmeričin,2
989,farmerski,2
990,fasada,4
991,fasadni,2
992,fascikl,5
993,fascinantan,7
994,fascinirati,7
995,faseta,4
996,fašist,2
997,fašistica,2
998,fašističin,2
999,fašistički,4
1000,fašizam,4
1001,fašnički,2
1002,fašnik,2
1003,fatalan,2
1004,fauna,2
1005,favela,4
1006,favorit,4
1007,favoritkinja,4
1008,faza,2
1009,fazan,2
1010,federacija,6
1011,federalizam,8
1012,federalni,2
1013,federativni,2
1014,feferon,4
1015,felah,2
1016,feljton,2
1017,feljtonski,2
1018,feministica,4
1019,feminističin,4
1020,feministički,6
1021,feminizam,6
1022,fen,2
1023,feniks,2
1024,fenolftalein,10
1025,fenomen,4
1026,fenomenalan,2
1027,fenjer,2
1028,feral,2
1029,feredža,2
1030,ferment,2
1031,fermentacija,8
1032,fermentiranje,8
1033,fermentirati,8
1034,feromon,4
1035,fes,2
1036,festival,5
1037,festivalski,5
1038,fetus,2
1039,feud,2
1040,feudalac,5
1041,feudalčev,5
1042,feudalizam,7
1043,feudalka,3
1044,feudalni,2
1045,fibula,2
1046,fićukati,4
1047,figura,4
1048,figurica,4
1049,fijaker,4
1050,fiju,2
1051,fijukati,4
1052,fikcija,2
1053,fiksan,2
1054,fiktivan,2
1055,fikus,2
1056,filatelija,6
1057,filatelist,6
1058,filatelistica,6
1059,filatelističin,6
1060,filatelistički,8
1061,filharmoničar,8
1062,filharmoničarev,8
1063,filharmoničarka,8
1064,filharmoničarov,8
1065,filharmonija,8
1066,filharmonijski,8
1067,filijala,6
1068,filipika,4
1069,film,2
1070,filmski,2
1071,filodendron,6
1072,filoksera,4
1073,filozof,4
1074,filozofija,6
1075,filozofkinja,4
1076,filozofski,4
1077,filtar,2
1078,filter,2
1079,filtracija,6
1080,filtrat,2
1081,filtriranje,6
1082,filtrirati,6
1083,fin,2
1084,finale,4
1085,finalist,4
1086,finalistica,4
1087,finalističin,4
1088,finalni,2
1089,financije,4
1090,financijski,4
1091,financirati,7
1092,finoća,4
1093,finski,2
1094,firma,2
1095,fitilj,2
1096,fitoplankton,7
1097,fizičar,2
1098,fizičarev,2
1099,fizičarka,2
1100,fizičarov,2
1101,fizički,2
1102,fizika,2
1103,fizikalni,2
1104,fiziologija,7
1105,fizioterapeut,11
1106,fizioterapeutkinja,11
1107,fizioterapeutski,11
1108,fizioterapija,9
1109,fjeld,3
1110,fjord,3
1111,flamanski,3
1112,flaster,3
1113,flaširati,5
1114,flauta,3
1115,flautist,4
1116,flautistica,4
1117,flautističin,4
1118,fliper,3
1119,fliš,3
1120,flomaster,5
1121,flora,3
1122,floret,3
1123,flota,3
1124,fluid,3
1125,fluor,3
1126,fluorescencija,9
1127,fluorescentni,9
1128,fluorov,3
1129,foaje,3
1130,g,0
1131,g.,0
1132,ga,0
1133,gacati,2
1134,gačac,2
1135,gaće,2
1136,gad,2
1137,gadan,2
1138,gaditi,2
1139,gadljiv,2
1140,gadljivost,2
1141,gadost,2
1142,gađanje,2
1143,gađati,2
1144,gađenje,2
1145,gaelski,2
1146,gaj,2
1147,gajdaš,2
1148,gajdašica,5
1149,gajdašičin,5
1150,gajde,2
1151,gajeta,2
1152,gajica,2
1153,gakanje,2
1154,gakati,2
1155,gaknuti,2
1156,galaktički,4
1157,galaktika,4
1158,galama,4
1159,galamiti,4
1160,galantan,4
1161,galanterija,7
1162,galeb,2
1163,galerija,4
1164,galerijski,4
1165,galica,2
1166,galicizam,6
1167,galija,2
1168,galijot,4
1169,galop,2
1170,galopirati,6
1171,gamad,2
1172,gameta,4
1173,gametofit,6
1174,ganga,2
1175,ganganje,2
1176,gangati,2
1177,ganglij,2
1178,gangrena,6
1179,gangster,2
1180,gangsterica,2
1181,gangsteričin,2
1182,gangsterski,2
1183,ganuće,4
1184,ganuti,2
1185,ganutljiv,4
1186,ganutost,2
1187,gar,2
1188,garancija,4
1189,garantirati,7
1190,garantni,2
1191,garav,2
1192,garavost,2
1193,garaža,4
1194,garda,2
1195,garderoba,7
1196,gardijski,2
1197,gardist,2
1198,gardistica,2
1199,gardističin,2
1200,garig,2
1201,garište,2
1202,garsonijera,9
1203,gas,2
1204,gasitelj,2
1205,gasiteljica,6
1206,gasiteljičin,6
1207,gasiti,2
1208,gastritis,6
1209,gastroskop,2
1210,gašenje,2
1211,gatalinka,4
1212,gatar,2
1213,gatara,2
1214,gatarev,4
1215,gatarov,4
1216,gatati,2
1217,gaučo,2
1218,gavran,2
1219,gavun,2
1220,gaza,2
1221,gazda,2
1222,gazdarica,2
1223,gazdaričin,2
1224,gazela,4
1225,gazirati,4
1226,gaziti,2
1227,gdje,4
1228,gdjegod,4
1229,gdjekad,4
1230,gdjekoji,4
1231,gdješto,4
1232,gdjetko,4
1233,gđa,0
1234,gđica,0
1235,gegati,2
1236,gejša,2
1237,gejzir,2
1238,gejzirski,2
1239,gel,2
1240,gem,2
1241,gema,2
1242,gemišt,2
1243,gen,2
1244,generacija,6
1245,generacijski,6
1246,general,4
1247,generalica,6
1248,generaličin,6
1249,generalizacija,10
1250,generalizirati,10
1251,generalni,2
1252,generativni,2
1253,generator,4
1254,genetičar,4
1255,genetičarev,4
1256,genetičarka,4
1257,genetičarov,4
1258,genetički,4
1259,genetika,4
1260,genetski,2
1261,geneza,2
1262,genij,2
1263,genijalac,6
1264,genijalan,2
1265,genijalčev,6
1266,genijalka,4
1267,genijalnost,6
1268,genitalije,6
1269,genitalni,2
1270,genitiv,2
1271,genocid,2
1272,genocidni,2
1273,genom,2
1274,genski,2
1275,geocentrični,5
1276,geocentrizam,9
1277,geodet,3
1278,geodetkinja,3
1279,geodetski,3
1280,geodezija,5
1281,geograf,3
1282,geografija,6
1283,geografkinja,3
1284,geografski,3
1285,geolog,3
1286,geologija,5
1287,geologinja,3
1288,geološki,3
1289,geometrija,5
1290,geometrijski,5
1291,georgina,6
1292,geostrategija,9
1293,geostrateški,7
1294,geotermalni,5
1295,gepard,2
1296,gerber,2
1297,gerila,4
1298,gerilski,2
1299,germanist,5
1300,germanistica,5
1301,germanističin,5
1302,germanistički,7
1303,germanistika,7
1304,germanizacija,9
1305,germanizam,7
1306,germanizirati,9
1307,geslo,2
1308,gest,2
1309,gesta,2
1310,geto,2
1311,gibak,2
1312,gibanje,2
1313,gibati,2
1314,gibljiv,2
1315,gibljivost,2
1316,gibon,2
1317,gic,2
1318,h,0
1319,H,0
1320,ha,0
1321,habit,2
1322,had,2
1323,haiku,3
1324,hajati,2
1325,hajde,2
1326,hajdučica,5
1327,hajdučičin,5
1328,hajdučki,2
1329,hajduk,2
1330,hajka,2
1331,haker,2
1332,hakerica,2
1333,hakeričin,2
1334,hala,2
1335,halapljiv,4
1336,halapljivost,4
1337,halo,2
1338,halogeni,2
1339,halucinacija,8
1340,halucinirati,8
1341,halucinogen,2
1342,haluga,2
1343,haljetak,5
1344,haljina,2
1345,hamburger,2
1346,hangar,2
1347,Hanuka,2
1348,hanukija,4
1349,haploidan,2
1350,harač,2
1351,haračiti,4
1352,harati,2
1353,hardver,2
1354,harem,2
1355,harfa,2
1356,harfist,2
1357,harfistica,2
1358,harfističin,2
1359,haringa,2
1360,harlekin,5
1361,harmoničan,5
1362,harmonija,5
1363,harmonijski,5
1364,harmonika,5
1365,harmonikaš,7
1366,harmonikašica,9
1367,harmonikašičin,9
1368,harmonikaški,7
1369,hašiš,2
1370,havarija,2
1371,hazarski,2
1372,he,2
1373,hebrejski,2
1374,hedonist,4
1375,hedonistica,4
1376,hedonističin,4
1377,hedonistički,6
1378,hedonizam,6
1379,hegemonija,6
1380,hegemonist,6
1381,hegemonistica,6
1382,hegemonističin,6
1383,hegemonistički,6
1384,hej,2
1385,heksadecimalni,7
1386,heksametar,5
1387,hektar,2
1388,hektolitar,2
1389,hektopaskal,7
1390,helenizacija,8
1391,helenizam,6
1392,helij,2
1393,helijev,2
1394,helikopter,6
1395,heliocentrični,7
1396,helot,2
1397,heljda,2
1398,hematit,4
1399,hematolog,6
1400,hematologija,8
1401,hematologinja,6
1402,hematološki,6
1403,hemisfera,7
1404,hemodijaliza,10
1405,hemofiličar,6
1406,hemofiličarev,6
1407,hemofiličarka,6
1408,hemofiličarov,6
1409,hemofilija,6
1410,hemoglobin,7
1411,hemoragija,6
1412,hemoroid,6
1413,hendikep,2
1414,hendikepiran,7
1415,henri,2
1416,hepatitis,6
1417,heptan,2
1418,heraldički,4
1419,heraldika,4
1420,herbar,2
1421,herbarij,2
1422,herbicid,5
1423,herc,2
1424,herceg,2
1425,heretičan,4
1426,heretik,4
1427,heretikinja,4
1428,hereza,2
1429,hermafrodit,8
1430,hermelin,5
1431,hermelinski,5
1432,hermetičan,5
1433,hermetičnost,5
1434,heroin,4
1435,heroina,5
1436,heroinski,4
1437,heroj,2
1438,herojski,2
1439,herojstvo,4
1440,herpes,2
1441,heterogen,2
1442,heteroseksualac,12
1443,heteroseksualčev,12
1444,heteroseksualka,11
1445,heteroseksualnost,12
1446,heterotrof,6
1447,heterotrofan,2
1448,hetitski,2
1449,hi,2
1450,hibernacija,7
1451,hibrid,2
1452,hibridni,2
1453,hidra,2
1454,hidrat,2
1455,hidratacija,7
1456,hidratacijski,7
1457,hidraulički,6
1458,hidraulični,6
1459,hidraulika,6
1460,hidrocentrala,11
1461,hidrodinamički,9
1462,hidrodinamika,9
1463,hidroelektrana,12
1464,hidrofilan,2
1465,hidrofoban,2
1466,hidrofor,2
1467,hidrogenacija,9
1468,hidrogliser,8
1469,hidrografija,8
1470,hidroizolacija,10
1471,hidrokrilac,8
1472,hidroksid,2
1473,hidroksil,2
1474,hidroksilni,2
1475,hidrokultura,10
1476,hidroliza,7
1477,hidrometeorolog,12
1478,hidrometeorologija,14
1479,hidrometeorologinja,12
1480,hidrometeorološki,12
1481,hidronim,5
1482,hidrosfera,8
1483,hidrostatički,8
1484,hidrostatika,8
1485,hifa,2
1486,higijena,6
1487,higijeničar,6
1488,higijeničarev,6
1489,higijeničarka,6
1490,higijeničarov,6
1491,higijenski,2
1492,hihot,2
1493,hihotati,4
